Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100USB
Power Meter SN,P2000216
Sensor,S121C
Sensor SN,09072425
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto

Start of Measurement,5/18/2026 16:14:26
Elapsed Time,00:00:10:000
Samples,3738

--Statistics--
Minimum [W],0.14725
Maximum [W],0.1654
Mean [W],0.15807
Standard Deviation [W],0.0042216
Ratio,1.123 : 1

--Graph Data--
Time (ms),Power (W)
3164.775,0.16415
3167.439,0.16412
3170.118,0.16373
3172.773,0.16373
3175.448,0.16357
3178.097,0.16363
3180.777,0.16347
3183.414,0.1635
3186.113,0.1635
3188.769,0.1636
3191.420,0.16353
3194.102,0.16373
3196.775,0.16379
3199.422,0.16406
3202.082,0.16379
3204.737,0.16392
3207.403,0.16389
3210.112,0.16389
3212.732,0.16357
3215.455,0.16353
3218.106,0.16353
3220.746,0.16327
3223.421,0.16321
3226.116,0.16337
3228.747,0.16337
3231.403,0.1634
3234.110,0.1634
3236.743,0.16337
3239.422,0.16327
3242.099,0.16307
3244.775,0.16294
3247.383,0.16281
3250.067,0.16272
3252.737,0.16219
3255.410,0.16196
3258.080,0.16164
3260.741,0.16138
3263.376,0.16131
3266.070,0.16111
3268.763,0.16075
3271.377,0.16053
3274.047,0.16023
3276.738,0.15968
3279.385,0.15977
3282.026,0.15964
3284.709,0.15902
3287.443,0.15892
3290.068,0.15896
3292.695,0.15886
3295.374,0.15873
3298.047,0.15863
3300.750,0.15847
3303.413,0.1586
3306.086,0.1584
3308.736,0.15834
3311.490,0.15847
3314.088,0.15837
3316.768,0.15863
3319.465,0.15869
3322.084,0.15879
3324.732,0.15863
3327.401,0.15889
3330.081,0.15905
3332.756,0.15912
3335.442,0.15928
3338.071,0.15945
3340.743,0.15974
3343.395,0.15958
3346.054,0.15977
3348.721,0.15997
3351.410,0.1601
3354.096,0.16036
3356.738,0.16053
3359.423,0.16079
3362.077,0.16115
3364.704,0.16124
3367.426,0.16131
3370.073,0.16144
3372.756,0.16151
3375.393,0.16164
3378.040,0.16193
3380.747,0.16209
3383.386,0.16209
3386.074,0.16222
3388.739,0.16249
3391.423,0.16245
3394.072,0.16262
3396.717,0.16268
3399.426,0.16278
3402.082,0.16278
3404.711,0.16285
3407.426,0.16285
3410.070,0.16307
3412.742,0.16301
3415.422,0.16304
3418.085,0.16298
3420.710,0.16311
3423.402,0.16311
3426.082,0.16317
3428.725,0.16324
3431.387,0.16327
3434.057,0.16337
3436.714,0.16337
3439.444,0.16343
3442.039,0.16366
3444.699,0.16376
3447.373,0.16363
3450.104,0.16373
3452.736,0.1636
3455.422,0.1636
3458.067,0.1635
3460.741,0.16366
3463.421,0.1636
3466.073,0.16357
3468.768,0.16363
3471.422,0.16383
3474.074,0.16392
3476.747,0.16399
3479.400,0.16406
3482.080,0.16419
3484.772,0.16432
3487.402,0.16432
3490.069,0.16428
3492.743,0.16448
3495.433,0.16448
3498.073,0.16442
3500.764,0.16448
3503.428,0.16451
3506.024,0.16455
3508.746,0.16451
3511.406,0.16461
3514.072,0.16442
3516.730,0.16464
3519.397,0.16481
3522.068,0.16481
3524.743,0.165
3527.379,0.1652
3530.074,0.16504
3532.767,0.16523
3535.407,0.1654
3538.050,0.16526
3540.734,0.16526
3543.415,0.1653
3546.064,0.16513
3548.726,0.16513
3551.395,0.16526
3554.092,0.16507
3556.744,0.165
3559.395,0.16504
3562.073,0.16513
3564.726,0.16507
3567.430,0.16513
3570.022,0.16507
3572.698,0.16504
3575.374,0.1652
3578.024,0.16513
3580.704,0.16507
3583.352,0.1651
3586.202,0.16507
3589.057,0.16497
3591.701,0.16477
3594.357,0.16468
3597.069,0.16464
3599.812,0.16455
3602.394,0.16445
3605.043,0.16425
